name,ra,dec,redshift,note
CGCG 535-12              ,9.0872465,45.6649095,0.048,
NPM 1G-10.0012           ,6.9432961,-10.2629889,0.048,
MCG 0-03-026             ,13.8067711,-1.0760497,0.048,
SDSS J000111.15-100155.5 ,0.2964748,-10.0321445,0.049,
PGC 912456               ,17.3823056,-15.3445278,0.049,
NPM 1G-09.0039           ,14.4854898,-9.5252331,0.05,
PGC 2800645              ,10.8492615,-9.8648492,0.05,
UGC 774                  ,18.4626684,13.2717209,0.05,
PGC 3095487              ,15.2186709,31.1937774,0.051,
IRASF 00580+3055         ,15.1998665,31.2001725,0.051,
UM 82                    ,15.3353963,6.9142536,0.051,
SDSS J010455.71+331517.8 ,16.232143,33.25495,0.052,
MARK 1152                ,18.4586466,-14.8456561,0.052,
NPM 1G-16.0043           ,17.8094693,-16.2651203,0.052,
MCG -2-04-013            ,18.4030911,-10.5793741,0.052,
PGC 1493287              ,13.2333701,15.7855311,0.052,
PGC 1897841              ,10.7578393,30.2887764,0.052,
NPM 1G-11.0008           ,3.333556,-10.8038145,0.052,
PGC 2037319              ,12.3082306,33.704165,0.052,
PGC 875733               ,5.9140716,-17.8983626,0.053,
NPM 1G-18.0010           ,5.9806708,-18.0473704,0.053,
2SLAQ J004630.80+000707.8,11.6283651,0.1188461,0.053,
PGC 971077               ,10.448977,-11.0082457,0.053,
PGC 1724559              ,12.2748701,25.0698631,0.053,
6QZ J010614.7-272536     ,16.5614209,-27.426614,0.053,
SDSS J000602.30+155930.3 ,1.5096223,15.9917769,0.054,
IRAS 01072-0348          ,17.4378591,-3.5424076,0.054,
RXS J00031-1805          ,0.7827023,-18.0971558,0.054,
2SLAQ J004250.53-001434.4,10.7105741,-0.2428951,0.054,
2SLAQ J005047.28-003108.0,12.6970401,-0.5189111,0.054,
PGC 93294                ,10.7983524,-9.637785,0.054,
PGC 970020               ,11.7592889,-11.0975512,0.054,
2SLAQ J003959.69-004437.3,9.9987491,-0.7437181,0.054,
2SLAQ J004417.14-000740.7,11.0714571,-0.1279741,0.054,
PGC 1157228              ,11.6201914,0.1060109,0.054,
PGC 920969               ,18.4850153,-14.7110546,0.054,
MCG -2-02-086            ,10.4602721,-9.3031462,0.055,
PGC 970443               ,7.2627531,-11.0634618,0.055,
PGC 1018293              ,13.4616049,-7.4776543,0.055,
SDSS J005125.77-102644.6 ,12.8573798,-10.445735,0.055,
SDSS J004844.60+243102.2 ,12.185845,24.517279,0.055,
PGC 1146060              ,9.9076586,-0.3287131,0.055,
NPM 1G-07.0025           ,10.2200175,-7.7024016,0.055,
SDSS J005752.83-104125.4 ,14.4701762,-10.6904253,0.055,
SDSS J004824.48-110832.6 ,12.1020488,-11.1424248,0.056,
PGC 1024833              ,12.3870664,-7.0712234,0.056,
PGC 1141194              ,12.7468511,-0.524782,0.056,
NPM 1G+15.0028           ,11.876051,16.1369572,0.056,
NPM 1G+10.0048           ,18.1454366,10.7104366,0.056,
PGC 133700               ,13.4768869,-24.076962,0.056,
2SLAQ J004031.42+001546.0,10.1309171,0.2627871,0.056,
UM 293                   ,14.4751421,1.3371986,0.056,
PGC 1077256              ,5.6871613,-3.0585177,0.056,
SDSS J004758.37+134649.2 ,11.993234,13.780355,0.056,
2SLAQ J004453.02-003954.5,11.2209271,-0.6651661,0.057,
PGC 983396               ,16.9416201,-10.0226631,0.057,
PGC 1439248              ,11.9991176,13.7426909,0.057,
SDSS J000927.34+070227.6 ,2.3639577,7.0410272,0.057,
PGC 1293688              ,5.1128697,6.0497667,0.057,
DUKST 474-75             ,14.1556389,-22.9365278,0.057,
SDSS J001223.95+193454.2 ,3.0998464,19.5817398,0.058,
PGC 1246402              ,1.6036987,3.1563652,0.058,
PGC 1358881              ,0.942338,9.0611024,0.058,
NPM 1G-10.0039           ,17.5375374,-10.1454246,0.058,
MCG 0-02-013             ,5.5866564,-0.9344053,0.058,
RXS J00508+3536          ,12.7114109,35.6119301,0.058,
IRASF 00373+0829         ,9.9754806,8.7626137,0.058,
UM 16                    ,0.7917443,4.748955,0.058,
SDSS J011330.05+042751.9 ,18.3752129,4.4644307,0.059,
SDSS J003002.87-001910.3 ,7.511991,-0.3195295,0.059,
NPM 1G+43.0016           ,13.2102752,43.6040701,0.059,
PGC 1231991              ,11.5993889,2.5996389,0.059,
PGC 1553518              ,14.2738687,18.2222819,0.06,
NPM 1G+13.0043           ,17.2202922,13.3372939,0.06,
SDSS J002846.82+071401.7 ,7.1950881,7.233827,0.06,
MCG 2-04-002             ,17.3308274,14.4093097,0.06,
NPM 1G+13.0020           ,8.9442101,13.8800401,0.06,
PGC 1115384              ,6.1363334,-1.5790854,0.06,
PGC 1487953              ,17.8737038,15.5649776,0.06,
ESO 541-12               ,15.572375,-19.6690834,0.06,
PGC 172049               ,6.5887422,0.1541605,0.06,
SDSS J011016.00+150515.9 ,17.5666885,15.0877649,0.06,
MCG 0-02-060             ,7.4370847,0.1697564,0.06,
SDSS J005039.87+334032.6 ,12.666141,33.675737,0.061,
PGC 1135909              ,18.1573811,-0.7398252,0.061,
SDSS J000750.10+325940.7 ,1.9587532,32.994652,0.061,
PGC 1480570              ,18.5960028,15.2885719,0.061,
IC 21                    ,7.2934551,-0.1637833,0.061,
SDSS J005801.71+135804.2 ,14.5071514,13.9678404,0.061,
PGC 1150037              ,7.3348321,-0.1747184,0.061,
PGC 769671               ,11.0992981,-26.268646,0.061,
2SLAQ J010015.92-003416.8,15.0663511,-0.5713531,0.061,
UGC 545                  ,13.3953056,12.6935556,0.061,
PGC 1569347              ,16.9787532,18.7582849,0.061,
PGC 985578               ,3.3974095,-9.8557983,0.062,
NPM 1G+07.0015           ,9.0395156,7.6404675,0.062,
SDSS J002725.30+001134.5 ,6.8554906,0.1929071,0.062,
SDSS J005845.17+002258.4 ,14.6882291,0.3829087,0.062,
NPM 1G-09.0008           ,2.8326881,-9.6612719,0.062,
SDSS J000259.41+001815.6 ,0.7475996,0.3043437,0.062,
2QZ J004432.8-272914     ,11.1368334,-27.4873334,0.062,
TON S180                 ,14.3341826,-22.3823827,0.062,
NPM 1G-22.0017           ,10.3835967,-22.6437399,0.063,
PG 2130+099,323.1175,10.175,0.063,QSO
SDSS J005631.88-002014.8 ,14.132864,-0.337446,0.063,
DRCG 2-3                 ,10.0717113,6.3951592,0.063,
LAMOSTJ002735.13+284230.8,6.896398,28.7085648,0.063,
ESO 473-7                ,4.0239046,-23.7311666,0.064,
DENISP_G_J0025509+003128 ,6.4625544,0.5245032,0.064,
SDSS J001802.82-004534.0 ,4.5117654,-0.7594809,0.064,
PGC 1185542              ,4.7186371,1.1329028,0.064,
NPM 1G-00.0008           ,5.1372772,-0.1463944,0.064,
PMN J0039-2220           ,9.7842077,-22.3337433,0.064,
MARK 1148                ,12.9781814,17.4329189,0.064,
PG 1229+204,187.9029,20.1697,0.064,QSO
PGC 1138468              ,4.126746,-0.6338016,0.064,
DRCG 5-20                ,18.1638185,17.4979151,0.064,
PGC 1142784              ,4.229926,-0.4608646,0.065,
SDSS J002024.11+334707.6 ,5.1004686,33.7854497,0.065,
PGC 1175571              ,18.6304553,0.7917588,0.065,
IRAS 00540+2537          ,14.2016956,25.8978544,0.065,
PGC 1922612              ,5.6990028,30.8941426,0.065,
SDSS J001525.87-012607.1 ,3.8578116,-1.4353138,0.065,
PGC 1142411              ,4.1590692,-0.4757108,0.065,
IRAS 00211-0117          ,5.9378311,-1.0083282,0.066,
PGC 1855429              ,12.132665,29.0929902,0.066,
SDSS J004404.34+000238.5 ,11.0180962,0.0440855,0.066,
NPM 1G-00.0038           ,17.5787966,0.1301123,0.066,
PGC 1272603              ,13.2862159,4.7423121,0.066,
2SLAQ J010332.94+002456.7,15.8872691,0.4157771,0.066,
RXS J00323+2423          ,8.0876444,24.3998325,0.066,
SDSS J011503.42+312654.6 ,18.7642225,31.4484867,0.067,
RXS J00247+0820          ,6.1903928,8.3491847,0.067,
SDSS J004127.24+150258.4 ,10.36351,15.0495349,0.067,
SDSS J010554.02-010153.0 ,16.4750967,-1.0314009,0.067,
PGC 981807               ,2.5592973,-10.1459682,0.067,
NPM 1G+00.0033           ,14.9735786,0.3741689,0.067,
PGC 1696239              ,16.4206261,23.9240391,0.067,
A 0021+25                ,6.0397635,25.418624,0.067,
MCG -1-02-013            ,6.5002084,-2.9328612,0.067,
PGC 1136084              ,7.9468325,-0.7332139,0.067,
SDSS J004350.49+144800.4 ,10.960411,14.80013,0.067,
PGC 1171932              ,12.7039474,0.658704,0.067,
KUG 0028+000             ,7.7404931,0.3675856,0.068,
PGC 1144576              ,11.7325848,-0.3884194,0.068,
PGC 1149755              ,14.6688239,-0.1859136,0.068,
SDSS J000657.76+152550.0 ,1.7406729,15.4305968,0.068,
PGC 1837303              ,8.0540575,28.4906601,0.068,
PGC 1109729              ,5.1924252,-1.8003538,0.068,
UGC 514                  ,12.6780815,0.4328785,0.068,
PGC 1139160              ,4.1208971,-0.6074023,0.068,
NPM 1G-03.0019           ,6.2629673,-3.3173656,0.068,
SDSS J010118.30-030805.0 ,15.3262822,-3.1347336,0.069,
KUG 0015-008B            ,4.6170651,-0.5701066,0.069,
PGC 1143341              ,14.8790789,-0.4368276,0.069,
PGC 1142322              ,15.0408771,-0.4790678,0.069,
SDSS J010650.66+051027.1 ,16.7110745,5.1742266,0.069,
SDSS J001951.10-004346.6 ,4.9629343,-0.7296187,0.069,
PGC 1157894              ,4.4239375,0.1312068,0.07,
PGC 1095345              ,16.3738948,-2.3210971,0.07,
PGC 1328905              ,7.8608196,7.71201,0.07,
SDSS J002252.32+004556.0 ,5.7179952,0.7655854,0.07,
PGC 1078803              ,15.1980985,-2.973005,0.07,
SDSS J000605.59-092007.0 ,1.523298,-9.3352767,0.07,
PGC 1612078              ,1.6386679,19.9766536,0.07,
PGC 3095501              ,16.4116348,-14.2704387,0.07,
PGC 1075692              ,15.3516284,-3.1444855,0.07,
SDSS J010409.16+000843.7 ,16.0381656,0.145503,0.071,
PGC 1090316              ,15.9338827,-2.4999782,0.071,
SDSS J010215.61-083637.5 ,15.5650771,-8.6104215,0.071,
PGC 1825873              ,12.4615556,28.0836892,0.071,
2QZ J005409.8-271406     ,13.5409584,-27.2349723,0.071,
PGC 2039026              ,1.6562208,33.8000787,0.071,
SDSS J001034.56+035223.9 ,2.6440115,3.8733231,0.071,
SDSS J001935.72+114437.2 ,4.8988166,11.7436991,0.071,
PGC 1143267              ,5.1830237,-0.440023,0.071,
PGC 1401385              ,7.5541626,11.9541007,0.072,
PGC 2304                 ,9.6381367,41.4806731,0.072,
SDSS J001700.15+113720.8 ,4.2506268,11.6224517,0.072,
PGC 986862               ,15.3753811,-9.7545439,0.072,
2SLAQ J005104.34-003601.7,12.7681181,-0.6004841,0.072,
MCG 0-02-007             ,5.14458,-0.4707559,0.072,
PGC 1153171              ,5.0929912,-0.049921,0.072,
SDSS J002835.70+122212.0 ,7.1487623,12.37002,0.072,
SDSS J002312.35+003956.2 ,5.8014391,0.6656515,0.073,
PGC 3099131              ,2.2983425,-0.6152191,0.073,
PGC 1869310              ,9.6644866,29.5328371,0.073,
PGC 1126067              ,9.2264557,-1.12918,0.073,
PGC 1070509              ,16.0187661,-3.4948963,0.073,
NPM 1G-20.0015           ,8.3436445,-20.652287,0.073,
MARK 957                 ,10.4726341,40.3549019,0.073,
PGC 1157505              ,4.7632365,0.1164471,0.073,
PGC 1134550              ,2.2612804,-0.7940823,0.073,
NPM 1G-02.0022           ,14.5932734,-2.6949373,0.073,
PGC 1453098              ,0.9028089,14.2427753,0.074,
2SLAQ J005543.40-002407.8,13.9308431,-0.4021771,0.074,
NPM 1G-06.0009           ,4.1579456,-5.7402527,0.074,
UGC 32                   ,1.2435,11.7008889,0.074,
3C 015                   ,9.2671292,-1.1523346,0.074,
2QZ J005027.7-273931     ,12.6157917,-27.6586945,0.074,
PGC 1069289              ,15.6549942,-3.591671,0.074,
SDSS J000723.55+085108.4 ,1.848145,8.8523544,0.074,
SDSS J005250.21+260459.6 ,13.2092408,26.083266,0.075,
PGC 1439056              ,17.4446008,13.7366302,0.075,
XWAS J000346.2-260041    ,0.9426725,-26.0118002,0.075,
PGC 1467000              ,17.3139437,14.7802726,0.075,
PGC 1588849              ,18.3358263,19.3385972,0.075,
PGC 1649649              ,18.5014899,21.4214953,0.075,
SDSS J011353.82+010213.5 ,18.4742401,1.0371022,0.076,
2SLAQ J005303.56+002511.5,13.2648511,0.4198851,0.076,
SDSS J004355.74+242045.7 ,10.9822509,24.3460343,0.076,
NPM 1G-13.0021           ,7.6673852,-13.3581235,0.076,
2QZ J001520.8-271610     ,3.8368334,-27.26925,0.076,
SDSS J000206.35-091208.0 ,0.526486,-9.2022266,0.076,
PGC 992632               ,0.8142209,-9.3101536,0.076,
PGC 1415711              ,0.5627639,12.7630128,0.076,
SDSS J010712.03+140844.9 ,16.8001062,14.1458268,0.077,
PGC 973429               ,1.9282425,-10.8146071,0.077,
PGC 991886               ,12.8134736,-9.3714363,0.077,
SDSS J000832.51-101656.8 ,2.1354611,-10.2824633,0.077,
PGC 1042007              ,18.1906591,-5.6546738,0.077,
PGC 1142182              ,18.6429835,-0.4843309,0.077,
PGC 1415349              ,2.2745966,12.7426977,0.077,
PGC 1770913              ,10.9346981,26.3005041,0.077,
PGC 1912853              ,7.1613112,30.6658191,0.078,
PGC 1485200              ,14.1857541,15.4594321,0.078,
PGC 1933125              ,14.5644022,31.1319352,0.078,
PGC 1120466              ,11.1975423,-1.3627291,0.078,
PGC 1034652              ,2.5831597,-6.2849483,0.078,
NPM 1G+39.0021           ,11.4920608,39.5637276,0.078,
2SLAQ J005402.82-010338.0,13.5117641,-1.0605711,0.078,
PGC 1485346              ,11.7083998,15.4647238,0.078,
PGC 1452006              ,16.8769811,14.2060854,0.078,
PGC 93296                ,10.8090027,-9.3625693,0.078,
SDSS J004514.87+154654.1 ,11.311979,15.781711,0.078,
PGC 1480339              ,4.3787497,15.2814821,0.078,
NPM 1G+15.0025           ,11.2860674,15.4283641,0.079,
PGC 2004331              ,5.1263142,32.6019051,0.079,
2SLAQ J005810.19-003448.1,14.5424991,-0.5800461,0.079,
SDSS J000303.62+004150.8 ,0.7651051,0.697445,0.079,
SDSS J004335.93+151124.0 ,10.8997491,15.1900275,0.079,
SDSS J004329.80+123959.4 ,10.8741888,12.6665447,0.079,
PGC 998983               ,13.3028565,-8.8027225,0.079,
2SLAQ J005742.75-000531.5,14.4281271,-0.0921091,0.079,
PGC 1472810              ,10.8368203,15.0072095,0.079,
PGC 1483712              ,11.8100996,15.404012,0.079,
PGC 1398401              ,9.2434208,11.7644131,0.079,
2QZ J002412.8-274046     ,6.0535834,-27.6795278,0.079,
SDSS J005633.36+000510.2 ,14.139044,0.086195,0.079,
PGC 1116760              ,16.0528621,-1.5185141,0.079,
PGC 1253758              ,9.9372071,3.5183719,0.079,
PGC 1496756              ,7.0450947,15.9337658,0.079,
PG 1440+356,220.765,35.4217,0.079,QSO
PGC 1184144              ,11.2265404,1.0875855,0.08,
SDSS J003448.97+153629.3 ,8.7040531,15.6081605,0.08,
SDSS J005355.05-105528.5 ,13.4794001,-10.9245861,0.08,
PGC 1375215              ,11.5385995,10.1434793,0.08,
DENISP_G_J0007098+010400 ,1.7909607,1.0666744,0.08,
NPM 1G+15.0024           ,11.0207651,15.8118551,0.08,
SDSS J005518.02+003912.4 ,13.8251095,0.6534577,0.08,
SDSS J001028.91+010301.2 ,2.6204029,1.0503701,0.08,
SDSS J004717.95+153232.1 ,11.824795,15.542252,0.08,
2SLAQ J004510.37-001534.9,11.2932311,-0.2597181,0.08,
PGC 2100384              ,10.9272843,37.4222221,0.08,
PGC 1164527              ,14.5709101,0.3823094,0.08,
PGC 1072352              ,16.5615722,-3.3604803,0.081,
PGC 996932               ,4.568673,-8.9680984,0.081,
PGC 1169795              ,9.6998865,0.5826589,0.081,
2SLAQ J004058.85-001959.5,10.2452281,-0.3332221,0.081,
PGC 1647443              ,1.3245314,21.3133021,0.081,
SDSS J002632.08+052102.3 ,6.6337038,5.3506513,0.081,
SDSS J011124.79+094524.7 ,17.853318,9.7568685,0.081,
SDSS J001056.25-090109.9 ,2.7344,-9.019437,0.081,
2SLAQ J004951.17+000412.5,12.4632151,0.0701461,0.081,
MCG 0-02-127             ,10.4554187,-0.4104016,0.081,
PGC 1272062              ,5.9048981,4.7062395,0.081,
SDSS J002455.45+160814.9 ,6.2310271,16.1375172,0.081,
DENISP_G_J0044503-001148 ,11.2096931,-0.1965012,0.081,
PGC 2022847              ,1.6712778,33.0863042,0.082,
SDSS J000534.66-103807.5 ,1.3944826,-10.6354376,0.082,
SDSS J010411.38-104710.3 ,16.0474452,-10.7861996,0.082,
PGC 1285148              ,6.0281958,5.5453404,0.082,
NPM 1G+27.0030           ,10.987287,27.3054636,0.082,
PGC 1067619              ,9.3124015,-3.7274994,0.082,
PGC 1945815              ,7.9127518,31.4099584,0.082,
SDSS J010101.90+350018.5 ,15.2579543,35.0051678,0.082,
PGC 1289355              ,2.4412413,5.7998281,0.082,
2SLAQ J004318.62-004425.9,10.8276071,-0.7405431,0.082,
SDSS J005837.42+243724.1 ,14.6559306,24.6233934,0.082,
SDSS J001800.22+042607.2 ,4.5009564,4.4353482,0.082,
PGC 982977               ,16.7233441,-10.0540651,0.082,
PGC 3095409              ,5.0301632,32.7362811,0.082,
PGC 138165               ,4.9764839,15.961217,0.083,
PGC 1652515              ,13.9244881,21.5585421,0.083,
SDSS J011142.75+262156.1 ,17.928158,26.365603,0.083,
DENISP_G_J0025116+005746 ,6.2983836,0.962783,0.083,
SDSS J004443.78-103520.5 ,11.1824583,-10.5890497,0.083,
PGC 1200996              ,4.5188217,1.6341045,0.083,
PGC 1197707              ,5.7404824,1.5306838,0.083,
SDSS J002246.74+324359.9 ,5.6947512,32.7333403,0.083,
PGC 1607205              ,13.7697311,19.8351961,0.083,
SDSS J001410.83+135140.7 ,3.5451567,13.861314,0.083,
SDSS J001013.71+080753.4 ,2.5571601,8.1315198,0.083,
LAMOSTJ010039.61+394230.2,15.1650779,39.7084259,0.083,
SDSS J005225.68+100318.9 ,13.1069851,10.055205,0.083,
PGC 3095500              ,16.288316,39.47092,0.083,
PGC 1414673              ,6.7343944,12.7078831,0.083,
PGC 1466805              ,3.4463918,14.7739183,0.083,
SDSS J003637.31+261952.9 ,9.1554672,26.3313672,0.083,
SDSS J001112.88-100122.3 ,2.8036857,-10.0229047,0.084,
SDSS J001116.45-100126.7 ,2.81854,-10.0241041,0.084,
SDSS J001325.87-011029.3 ,3.35783,-1.1748125,0.084,
SDSS J001824.89+184042.5 ,4.6037143,18.6784867,0.084,
PGC 1786474              ,7.8719331,26.727101,0.084,
PGC 1928715              ,8.959953,31.0347695,0.084,
PGC 1145261              ,5.3468545,-0.3606611,0.084,
PGC 2046379              ,10.5238977,34.2586366,0.084,
PGC 3095446              ,10.8712842,39.1952448,0.084,
SDSS J001813.39+020817.4 ,4.555817,2.1381681,0.084,
PGC 1470223              ,2.7670613,14.9089585,0.084,
PGC 1604763              ,5.9065694,19.7674953,0.084,
PGC 3095412              ,6.762124,-2.8630345,0.084,
PGC 1971750              ,10.0556511,31.9330241,0.085,
SDSS J004214.97+102003.7 ,10.5624128,10.3343633,0.085,
SDSS J003514.28+254727.0 ,8.8095461,25.7908561,0.085,
SDSS J004334.98+070237.4 ,10.8957892,7.043728,0.085,
SDSS J000458.57+005134.7 ,1.2440802,0.8596581,0.085,
SDSS J000407.01+002916.8 ,1.029211,0.488012,0.085,
PGC 1437228              ,4.1037045,13.6699588,0.085,
PGC 1544679              ,2.4599466,17.8961551,0.085,
SDSS J000540.14+001907.3 ,1.4172964,0.3186903,0.085,
PGC 1064396              ,13.3215513,-3.9888589,0.085,
PGC 1126217              ,5.3913363,-1.1239388,0.085,
MCG -2-01-055            ,4.9122125,-9.6738852,0.085,
PGC 1678097              ,5.8889453,22.9058561,0.085,
PGC 1098757              ,5.2337167,-2.2058267,0.085,
SDSS J001303.70+004748.9 ,3.2654736,0.7969433,0.085,
PGC 1056833              ,9.5465464,-4.5387254,0.086,
PGC 1140076              ,1.6488633,-0.5710657,0.086,
6dF J001553.1-005711     ,3.9711009,-0.9530082,0.086,
SDSS J011224.54+083955.6 ,18.102289,8.6654656,0.086,
SDSS J000844.79-002142.3 ,2.1866429,-0.361752,0.086,
SDSS J000249.06+004504.8 ,0.7044455,0.7513351,0.086,
SDSS J010710.23+090635.7 ,16.7926446,9.1099214,0.086,
PGC 1632359              ,16.872775,20.6321656,0.086,
